Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1884,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-11.5,-15.6,999.9
1885,-33.7,-20,-9.6,-6.3,1,12,14.1,11.8,7.3,-4.7,-17.8,-17.5,-5.3
1886,-20,-20.9,-16,-4.4,0.2,6.8,20.2,14,9.1,-4.9,-15,-11.6,-3.5
1887,-21.3,-16.5,-11.9,-4.4,1.4,16,19,13.4,7.4,-4.1,-13,-23.5,-3.1
1888,-22.7,-22.5,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-13.4,-28.5,999.9
1889,-21.7,-17.1,-13,-1.2,2,11.1,16,15.2,9.1,-7.1,-16.6,-20.3,-3.6
1890,-24,-20.4,-14.5,-6.5,-5.2,10.4,17.7,13.4,6.2,2.5,-25.6,-20.6,-5.6
1891,-25,-17.6,-9.7,-10.5,0.2,9.7,14.1,12.4,5.6,-7.9,-18.5,-22.6,-5.8
1892,-21.1,-22.2,-12.2,-7.5,6.1,13.9,18.8,16.7,8,-0.5,-15.1,-23.5,-3.2
1893,-29.4,-18.8,-5.9,0.9,3,10.3,16.1,12.3,9.1,-0.9,-9.3,-23.7,-3
1894,-22.9,-13.9,-12.6,-10.8,3.3,10.9,17.1,16.3,8.1,-1.2,-19.4,-20.4,-3.8
1895,-26.2,-29.9,-8.5,-8.6,1.5,11,18.4,13.7,9,1.1,-11.1,-21.1,-4.2
1896,-24.1,-19.1,-13,-6.9,8.4,12.7,17.2,14.9,7.4,1.5,-17.4,-21.4,-3.3
1897,-24.1,-20,-13.8,-5.8,5.8,14.6,16.8,13.5,8.5,-3,-13,-21.6,-3.5
1898,-17.2,-24.7,-20.8,-6.3,0.2,12.8,19,13.7,9.3,-5,-14,-15.2,-4
1899,-18.5,-18.8,-13.3,-2.1,1.9,12.5,13.3,15,8.2,3.6,-3.7,-21.2,-1.9
1900,-28.6,-20.3,-9.5,-4.6,7.8,14.1,18.3,15.2,7.3,1.4,-12.8,-17.4,-2.4
1901,-27,-14.3,-9.8,-3.8,4.2,11.3,16.4,11.9,4,-3.1,-12.2,-24.2,-3.9
1902,-22.7,-17.8,-19.2,-6.5,1.2,10.3,19.8,13.7,8,-7.8,-24,-27.5,-6
1903,-24.9,-13.1,-12.9,-4.1,2.9,9.4,15.7,13.4,7.8,-3.5,-11.3,-19.3,-3.3
1904,-17.9,-23.5,-10.4,-3.3,7.5,14.3,16.6,15.3,6.9,0.9,-8.9,-21.2,-2
1905,-23,-16.3,-14.1,-6,3.4,9.3,16.8,13.4,8.8,-0.4,-10.9,-16.5,-3
1906,-27.3,-21.2,-8.2,-2.4,3.5,13.5,14.8,16.3,7.2,-1.3,-15.7,-15,-3
1907,-28.2,-17.2,-8,0,3,9.5,15.6,17.4,10.4,-4.3,-17.8,-27.1,-3.9
1908,-25.5,-16.7,-19,-3.3,6,11.1,14.8,15.4,7.8,-3.3,-14.3,-25.5,-4.4
1909,-25.5,-16.2,-15.6,-4.8,2.5,14.3,19.1,12.7,6.8,-0.9,-6.9,-17.3,-2.7
1910,-21,-14.6,-18.6,-6,4.8,11.7,17,13.9,8.3,-4.3,-16.8,-20.7,-3.9
1911,-21.2,-20.4,-20.4,-2,3,14.8,20.1,11.8,7,-1.4,-13.7,-18.9,-3.4
1912,-19.6,-25.8,-18.2,-2,5.5,11.5,16.2,9.3,6.8,-7.4,-13.6,-21.6,-4.9
1913,-25.6,-23.8,-9.7,-5.3,4.7,14.4,16.8,13.6,5.9,-2.6,-11.7,-8.8,-2.7
